t105,mani,emp12,mani@mail.com,9876541242,Bangalore Karnataka India,Time 10:6:17,Date 28-12-2022
t105,mani,emp12,mani@mail.com,9876541242,Bangalore Karnataka India,Time 10:6:17,Date 28-12-2022
t101,sachin,emp18,sachin@mail.com,9876222444,Bangalore Karnataka India,Time 10:25:59,Date 28-12-2022
t101,sachin,emp18,sachin@mail.com,9876222444,Bangalore Karnataka India,Time 10:25:59,Date 28-12-2022
t104,sachin,emp18,sachin@mail.com,9876222444,Bangalore Karnataka India,Time 10:26:4,Date 28-12-2022
t104,sachin,emp18,sachin@mail.com,9876222444,Bangalore Karnataka India,Time 10:26:4,Date 28-12-2022
t103,johnson,emp08,johnson@mail.com,9876541238,Sirsi Karnataka India,Time 11:42:42,Date 28-12-2022
t103,johnson,emp08,johnson@mail.com,9876541238,Sirsi Karnataka India,Time 11:42:42,Date 28-12-2022
t104,johnson,emp08,johnson@mail.com,9876541238,Sirsi Karnataka India,Time 11:43:26,Date 28-12-2022
t104,johnson,emp08,johnson@mail.com,9876541238,Sirsi Karnataka India,Time 11:43:26,Date 28-12-2022
t105,vidya,emp01,vidya@mail.com,9876541231,Bangalore Karnataka India,Time 11:49:29,Date 28-12-2022
t105,vidya,emp01,vidya@mail.com,9876541231,Bangalore Karnataka India,Time 11:49:29,Date 28-12-2022
t102,vinayak,emp04,vinayak@mail.com,9876541234,Bangalore Karnataka India,Time 12:36:3,Date 29-12-2022
t109,vinayak,emp04,vinayak@mail.com,9876541234,Bangalore Karnataka India,Time 12:36:16,Date 29-12-2022
t112,venkat,emp06,venkat@mail.com,9876541236,Hyderabad AndraPradesh India,Time 12:43:41,Date 29-12-2022
t112,venkat,emp06,venkat@mail.com,9876541236,Hyderabad AndraPradesh India,Time 12:44:58,Date 29-12-2022
t112,venkat,emp06,venkat@mail.com,9876541236,Hyderabad ,Time 12:45:10,Date 29-12-2022
t1,venkat,emp06,venkat@mail.com,9876541236,Hyderabad AndraPradesh India,Time 13:10:48,Date 29-12-2022
t100,vidya,emp01,vidya@mail.com,9876541231,Bangalore Karnataka India,Time 13:11:51,Date 29-12-2022
t101,vidya,emp01,vidya@mail.com,9876541231,Bangalore Karnataka India,Time 13:12:17,Date 29-12-2022
t100,muktha,emp02,muktha@mail.com,9876541232,Bangalore Karnataka India,Time 14:40:26,Date 29-12-2022
t101,veeresh,emp05,veeresh@mail.com,9876541235,Bangalore Karnataka India,Time 14:49:25,Date 29-12-2022
t100,srivatsa,emp03,srivatsa@mail.com,9876541233,Bangalore Karnataka India,Time 14:52:11,Date 29-12-2022
t103,muktha,emp02,muktha@mail.com,9876541232,Bangalore Karnataka India,Time 15:2:55,Date 29-12-2022
t102,muktha,emp02,muktha@mail.com,9876541232,Bangalore Karnataka India,Time 15:3:47,Date 29-12-2022

t103,,Time 17:5:56,Date 3-1-2023
t100,johnson,emp03,johnson@mail.com,9876541238,Sirsi Karnataka India,,Time 17:6:29,Date 3-1-2023

t100,johnson,emp03,johnson@mail.com,9876541238,Sirsi Karnataka India
